borough,property_type,timestamp_of_call
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/01/2017 10:55
Harrow,Converted Flat/Maisonette - Up to 2 storeys,21/01/2017 17:01
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,21/01/2017 13:11
Brent,House - single occupancy,21/01/2017 19:40
Westminster,House - single occupancy,21/01/2017 22:45
Lewisham,Purpose Built Flats/Maisonettes - 10 or more storeys,22/01/2017 13:47
Harrow,House - single occupancy,22/01/2017 17:11
Ealing,House - single occupancy,22/01/2017 09:57
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 15:19
Newham,House - single occupancy,22/01/2017 12:39
Barking And dagenham,House - single occupancy,22/01/2017 21:01
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/01/2017 15:21
Ealing,Converted Flat/Maisonette - Up to 2 storeys,22/01/2017 19:48
Waltham Forest,House - single occupancy,22/01/2017 16:30
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 18:17
Hounslow,House - single occupancy,22/01/2017 00:27
Southwark,Converted Flat/Maisonettes - 3 or more storeys,22/01/2017 15:56
Croydon,House - single occupancy,22/01/2017 00:30
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 19:26
Newham,Converted Flat/Maisonette - Up to 2 storeys,22/01/2017 23:16
Hillingdon,House - single occupancy,22/01/2017 15:29
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 20:01
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/01/2017 02:44
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/01/2017 10:51
Enfield,Unlicensed House in Multiple Occupation - Up to 2 storeys,22/01/2017 19:10
Lambeth,House - single occupancy,22/01/2017 16:31
Kensington And chelsea,Converted Flat/Maisonettes - 3 or more storeys,22/01/2017 16:58
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 07:42
Newham,House - single occupancy,22/01/2017 00:43
Newham,Purpose Built Flats/Maisonettes - 10 or more storeys,22/01/2017 14:24
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/01/2017 14:13
Enfield,House - single occupancy,23/01/2017 18:45
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/01/2017 22:59
Croydon,House - single occupancy,23/01/2017 19:27
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/01/2017 10:35
Harrow,House - single occupancy,23/01/2017 08:28
Hounslow,Converted Flat/Maisonette - Up to 2 storeys,23/01/2017 23:53
Havering,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/01/2017 17:14
Southwark,House - single occupancy,23/01/2017 03:57
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/01/2017 08:24
Hammersmith And fulham,Converted Flat/Maisonettes - 3 or more storeys,23/01/2017 21:17
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/01/2017 07:56
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/01/2017 10:07
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/01/2017 18:52
Kensington And chelsea,House - single occupancy,24/01/2017 07:33
Hillingdon,Student Hall of Residence,24/01/2017 18:24
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/01/2017 22:13
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/01/2017 22:04
Ealing,House - single occupancy,24/01/2017 09:40
Southwark,Nursing/Care Home/Hospice,24/01/2017 02:11
Barnet,House - single occupancy,24/01/2017 19:06
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/01/2017 08:51
Camden,Student Hall of Residence,24/01/2017 02:03
Camden,Converted Flat/Maisonettes - 3 or more storeys,24/01/2017 20:28
Havering,Hotel/motel,24/01/2017 01:17
Barking And dagenham,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/01/2017 17:43
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/01/2017 11:41
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/01/2017 17:54
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,24/01/2017 14:52
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/01/2017 11:37
Southwark,Hostel (e.g. for homeless people),25/01/2017 12:13
Barnet,House - single occupancy,25/01/2017 23:15
Ealing,Self contained Sheltered Housing,25/01/2017 23:22
Wandsworth,Converted Flat/Maisonette - Up to 2 storeys,25/01/2017 13:40
Tower Hamlets,Purpose Built Flats/Maisonettes - 10 or more storeys,25/01/2017 18:34
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/01/2017 19:18
Brent,Nursing/Care Home/Hospice,25/01/2017 18:03
Wandsworth,Hostel (e.g. for homeless people),25/01/2017 23:34
Croydon,House - single occupancy,25/01/2017 01:08
Not geo-coded,House - single occupancy,25/01/2017 19:19
Bromley,Self contained Sheltered Housing,25/01/2017 09:21
Kensington And chelsea,House - single occupancy,25/01/2017 19:24
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/01/2017 12:48
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/01/2017 07:27
Havering,House - single occupancy,25/01/2017 18:22
Greenwich,Converted Flat/Maisonette - Up to 2 storeys,26/01/2017 08:17
Harrow,House - single occupancy,26/01/2017 21:31
Camden,House - single occupancy,26/01/2017 16:46
Lambeth,House - single occupancy,26/01/2017 00:57
Waltham Forest,House - single occupancy,26/01/2017 11:40
Lambeth,House - single occupancy,26/01/2017 20:45
Wandsworth,House - single occupancy,26/01/2017 19:47
Waltham Forest,Converted Flat/Maisonette - Up to 2 storeys,26/01/2017 18:19
Westminster,Purpose Built Flats/Maisonettes - 10 or more storeys,26/01/2017 16:58
Waltham Forest,Converted Flat/Maisonette - Up to 2 storeys,26/01/2017 12:45
Ealing,Converted Flat/Maisonettes - 3 or more storeys,26/01/2017 21:38
Sutton,Nursing/Care Home/Hospice,26/01/2017 02:58
Westminster,Military/barracks,27/01/2017 18:52
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/01/2017 21:01
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/01/2017 13:53
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/01/2017 07:53
Harrow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/01/2017 21:54
Redbridge,House - single occupancy,27/01/2017 17:53
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/01/2017 01:43
Hackney,Purpose Built Flats/Maisonettes - 10 or more storeys,27/01/2017 21:31
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/01/2017 07:38
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/01/2017 09:07
Lambeth,House - single occupancy,27/01/2017 22:11
Barnet,House - single occupancy,27/01/2017 23:58
Brent,House in Multiple Occupation - Up to 2 storeys (not known if licensed),28/01/2017 14:36
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 18:26
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/01/2017 01:36
Lambeth,Unlicensed House in Multiple Occupation - Up to 2 storeys,28/01/2017 13:33
Southwark,Purpose Built Flats/Maisonettes - 10 or more storeys,28/01/2017 12:23
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 13:53
Greenwich,House - single occupancy,28/01/2017 13:31
Havering,House - single occupancy,28/01/2017 19:47
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 19:22
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 20:54
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 03:37
Ealing,Unlicensed House in Multiple Occupation - Up to 2 storeys,28/01/2017 20:37
Redbridge,House - single occupancy,28/01/2017 20:48
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 19:21
Redbridge,House - single occupancy,28/01/2017 00:04
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/01/2017 17:50
Kingston Upon thames,House - single occupancy,29/01/2017 18:24
Wandsworth,Purpose Built Flats/Maisonettes - 10 or more storeys,29/01/2017 15:47
Bromley,House - single occupancy,29/01/2017 13:27
Kingston Upon thames,Self contained Sheltered Housing,29/01/2017 03:38
Greenwich,House - single occupancy,29/01/2017 12:48
Lambeth,House - single occupancy,29/01/2017 00:18
Kensington And chelsea,Purpose Built Flats/Maisonettes - Up to 3 storeys,29/01/2017 07:54
Westminster,Purpose Built Flats/Maisonettes - Up to 3 storeys,29/01/2017 21:02
Richmond Upon thames,House - single occupancy,29/01/2017 13:53
Lewisham,Self contained Sheltered Housing,29/01/2017 17:11
Lewisham,Self contained Sheltered Housing,29/01/2017 14:09
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,29/01/2017 09:17
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,29/01/2017 02:16
Waltham Forest,House - single occupancy,29/01/2017 11:53
Hounslow,Converted Flat/Maisonette - Up to 2 storeys,29/01/2017 17:21
Barnet,House - single occupancy,29/01/2017 13:50
Newham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,30/01/2017 01:47
Waltham Forest,Purpose Built Flats/Maisonettes - 4 to 9 storeys,30/01/2017 15:04
Merton,Converted Flat/Maisonette - Up to 2 storeys,30/01/2017 19:28
Lewisham,Converted Flat/Maisonette - Up to 2 storeys,30/01/2017 09:13
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,30/01/2017 20:47
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,30/01/2017 19:12
Waltham Forest,House - single occupancy,30/01/2017 18:32
Brent,House - single occupancy,30/01/2017 23:55
Ealing,Student Hall of Residence,30/01/2017 11:39
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,30/01/2017 17:44
Newham,House - single occupancy,30/01/2017 14:30
Ealing,Self contained Sheltered Housing,30/01/2017 17:02
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,30/01/2017 15:05
Hackney,Converted Flat/Maisonettes - 3 or more storeys,30/01/2017 15:34
Lewisham,Converted Flat/Maisonette - Up to 2 storeys,30/01/2017 05:53
Richmond Upon thames,House - single occupancy,30/01/2017 18:23
Richmond Upon thames,House - single occupancy,31/01/2017 15:26
Havering,House - single occupancy,31/01/2017 19:50
Lewisham,House - single occupancy,31/01/2017 18:53
Harrow,Retirement/Old Persons Home,31/01/2017 08:48
Greenwich,House - single occupancy,31/01/2017 18:59
Ealing,House - single occupancy,31/01/2017 19:02
Ealing,House - single occupancy,31/01/2017 14:07
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,31/01/2017 22:31
Merton,House - single occupancy,31/01/2017 21:24
Not geo-coded,Purpose Built Flats/Maisonettes - 4 to 9 storeys,31/01/2017 10:08
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,31/01/2017 16:01
Sutton,House - single occupancy,31/01/2017 13:19
Harrow,Purpose Built Flats/Maisonettes - Up to 3 storeys,31/01/2017 13:52
Bromley,House - single occupancy,31/01/2017 19:49
Barnet,Self contained Sheltered Housing,31/01/2017 18:47
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/02/2017 17:00
Havering,House - single occupancy,01/02/2017 21:30
Bexley,Purpose Built Flats/Maisonettes - 10 or more storeys,01/02/2017 01:58
Hammersmith And fulham,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/02/2017 19:34
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/02/2017 15:33
Southwark,House - single occupancy,01/02/2017 10:58
Barnet,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/02/2017 17:04
Camden,Converted Flat/Maisonettes - 3 or more storeys,01/02/2017 17:05
Richmond Upon thames,House - single occupancy,01/02/2017 14:19
Havering,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/02/2017 14:39
Harrow,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/02/2017 23:50
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/02/2017 15:06
Redbridge,Nursing/Care Home/Hospice,01/02/2017 22:45
Redbridge,House in Multiple Occupation - Up to 2 storeys (not known if licensed),01/02/2017 16:58
Brent,Self contained Sheltered Housing,01/02/2017 19:52
Merton,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/02/2017 19:52
Merton,Purpose Built Flats/Maisonettes - Up to 3 storeys,02/02/2017 15:46
Hackney,Bungalow - single occupancy,02/02/2017 15:45
Ealing,House - single occupancy,02/02/2017 20:52
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/02/2017 17:43
Westminster,Converted Flat/Maisonettes - 3 or more storeys,02/02/2017 06:35
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/02/2017 20:42
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/02/2017 18:15
Islington,Converted Flat/Maisonette - Up to 2 storeys,02/02/2017 21:27
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/02/2017 11:37
Barnet,House - single occupancy,02/02/2017 19:52
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,02/02/2017 17:08
Barnet,House - single occupancy,02/02/2017 06:52
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/02/2017 16:21
Kingston Upon thames,Other Dwelling,02/02/2017 10:52
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,02/02/2017 02:11
Merton,Self contained Sheltered Housing,02/02/2017 05:42
Croydon,House - single occupancy,03/02/2017 23:49
Hammersmith And fulham,Licensed House in Multiple Occupation - 3 or more storeys,03/02/2017 12:11
Redbridge,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/02/2017 22:57
Newham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/02/2017 12:05
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/02/2017 00:54
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/02/2017 20:04
Hounslow,Children's Home,03/02/2017 15:12
Merton,House - single occupancy,03/02/2017 23:08
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/02/2017 18:00
Newham,Converted Flat/Maisonette - Up to 2 storeys,03/02/2017 01:26
Croydon,Converted Flat/Maisonettes - 3 or more storeys,03/02/2017 21:39
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/02/2017 15:47
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/02/2017 13:41
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/02/2017 22:09
Barking And dagenham,House - single occupancy,04/02/2017 11:49
Brent,Converted Flat/Maisonette - Up to 2 storeys,04/02/2017 15:33
Tower Hamlets,Purpose Built Flats/Maisonettes - 10 or more storeys,04/02/2017 19:10
Enfield,House - single occupancy,04/02/2017 18:57
Enfield,House - single occupancy,04/02/2017 15:02
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/02/2017 17:50
Kingston Upon thames,House - single occupancy,04/02/2017 22:26
Barnet,House in Multiple Occupation - 3 or more storeys (not known if licensed),04/02/2017 22:32
Kensington And chelsea,Converted Flat/Maisonettes - 3 or more storeys,04/02/2017 12:13
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/02/2017 08:39
Newham,Licensed House in Multiple Occupation - Up to 2 storeys,04/02/2017 18:06
Southwark,Self contained Sheltered Housing,04/02/2017 12:21
Not geo-coded,Purpose Built Flats/Maisonettes - 10 or more storeys,04/02/2017 20:55
Waltham Forest,House - single occupancy,04/02/2017 22:37
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,04/02/2017 17:59
Sutton,House - single occupancy,04/02/2017 19:30
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,04/02/2017 18:59
Barnet,House - single occupancy,05/02/2017 12:24
Hounslow,House - single occupancy,05/02/2017 17:45
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,05/02/2017 13:53
Hackney,Boarding House/B&B for homeless/asylum seekers,05/02/2017 20:21
Harrow,House - single occupancy,05/02/2017 13:15
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/02/2017 21:35
Redbridge,House - single occupancy,05/02/2017 02:06
Croydon,Self contained Sheltered Housing,05/02/2017 18:23
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/02/2017 13:37
Hammersmith And fulham,Converted Flat/Maisonette - Up to 2 storeys,05/02/2017 12:00
Newham,Licensed House in Multiple Occupation - Up to 2 storeys,05/02/2017 00:30
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,05/02/2017 02:40
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,05/02/2017 21:38
Barnet,Self contained Sheltered Housing,05/02/2017 08:43
Hillingdon,House - single occupancy,05/02/2017 04:58
Bexley,Nursing/Care Home/Hospice,05/02/2017 16:49
Croydon,House - single occupancy,06/02/2017 19:31
Havering,House - single occupancy,06/02/2017 04:06
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/02/2017 16:40
Brent,Hostel (e.g. for homeless people),06/02/2017 19:55
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/02/2017 13:40
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/02/2017 13:01
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/02/2017 08:40
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/02/2017 21:13
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/02/2017 14:18
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/02/2017 10:42
Barnet,House - single occupancy,07/02/2017 18:58
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/02/2017 14:44
Greenwich,House - single occupancy,07/02/2017 02:31
Sutton,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/02/2017 18:22
Hammersmith And fulham,Retirement/Old Persons Home,07/02/2017 23:41
Ealing,Converted Flat/Maisonette - Up to 2 storeys,07/02/2017 18:43
Ealing,House - single occupancy,07/02/2017 12:49
Barnet,House - single occupancy,07/02/2017 03:48
Harrow,Bungalow - single occupancy,07/02/2017 17:20
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/02/2017 15:25
Hammersmith And fulham,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/02/2017 07:19
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/02/2017 18:01
Harrow,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/02/2017 18:03
Greenwich,House - single occupancy,07/02/2017 05:23
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/02/2017 15:52
Lewisham,House - single occupancy,07/02/2017 15:15
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/02/2017 16:20
Islington,Self contained Sheltered Housing,08/02/2017 22:39
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/02/2017 18:10
Wandsworth,Purpose Built Flats/Maisonettes - 10 or more storeys,08/02/2017 21:34
Brent,House - single occupancy,08/02/2017 18:32
Bromley,House - single occupancy,08/02/2017 17:32
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/02/2017 18:26
Lambeth,House - single occupancy,08/02/2017 10:29
Barnet,Nursing/Care Home/Hospice,08/02/2017 08:37
Kingston Upon thames,House - single occupancy,08/02/2017 15:24
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/02/2017 15:58
Tower Hamlets,Retirement/Old Persons Home,08/02/2017 20:57
Haringey,House - single occupancy,08/02/2017 20:06
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/02/2017 18:08
Greenwich,Converted Flat/Maisonette - Up to 2 storeys,08/02/2017 17:58
Newham,Children's Home,08/02/2017 13:28
Westminster,Converted Flat/Maisonettes - 3 or more storeys,08/02/2017 18:25
Westminster,House - single occupancy,08/02/2017 17:41
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/02/2017 15:10
Bromley,House - single occupancy,09/02/2017 17:00
Redbridge,Converted Flat/Maisonette - Up to 2 storeys,09/02/2017 15:05
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/02/2017 02:19
Kingston Upon thames,House - single occupancy,09/02/2017 19:16
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/02/2017 12:24
Redbridge,House - single occupancy,09/02/2017 15:08
Camden,Converted Flat/Maisonettes - 3 or more storeys,09/02/2017 20:09
Islington,Student Hall of Residence,09/02/2017 15:42
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/02/2017 11:37
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/02/2017 18:23
Greenwich,House - single occupancy,09/02/2017 12:23
Merton,Self contained Sheltered Housing,09/02/2017 18:24
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/02/2017 21:57
Haringey,House - single occupancy,09/02/2017 21:41
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/02/2017 19:59
Barnet,House in Multiple Occupation - Up to 2 storeys (not known if licensed),09/02/2017 12:16
Westminster,House - single occupancy,09/02/2017 18:52
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/02/2017 17:09
Brent,Converted Flat/Maisonette - Up to 2 storeys,10/02/2017 15:27
Wandsworth,Unlicensed House in Multiple Occupation - 3 or more storeys,10/02/2017 20:51
Lewisham,House - single occupancy,10/02/2017 11:25
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,10/02/2017 21:58
Newham,Self contained Sheltered Housing,10/02/2017 22:01
Bexley,Nursing/Care Home/Hospice,10/02/2017 05:55
Bexley,House - single occupancy,10/02/2017 16:05
Barnet,House - single occupancy,10/02/2017 13:12
Hammersmith And fulham,Converted Flat/Maisonettes - 3 or more storeys,10/02/2017 21:02
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/02/2017 12:34
Brent,Converted Flat/Maisonette - Up to 2 storeys,10/02/2017 19:47
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/02/2017 00:05
Hackney,Self contained Sheltered Housing,10/02/2017 08:22
Hammersmith And fulham,Self contained Sheltered Housing,10/02/2017 19:28
Tower Hamlets,Hostel (e.g. for homeless people),10/02/2017 22:02
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,10/02/2017 15:44
Islington,Other Residential Home,10/02/2017 22:49
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/02/2017 17:44
Westminster,Converted Flat/Maisonettes - 3 or more storeys,11/02/2017 08:43
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/02/2017 06:30
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/02/2017 07:15
Lambeth,Self contained Sheltered Housing,11/02/2017 11:23
Bromley,House - single occupancy,11/02/2017 02:19
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/02/2017 13:12
Wandsworth,House - single occupancy,11/02/2017 13:55
Ealing,Self contained Sheltered Housing,11/02/2017 20:42
Croydon,House - single occupancy,11/02/2017 11:52
Haringey,Licensed House in Multiple Occupation - Up to 2 storeys,11/02/2017 09:52
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/02/2017 18:27
Southwark,Hotel/motel,11/02/2017 18:13
Hillingdon,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/02/2017 21:33
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/02/2017 19:07
Bromley,Self contained Sheltered Housing,11/02/2017 23:14
Haringey,Converted Flat/Maisonette - Up to 2 storeys,11/02/2017 14:47
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/02/2017 19:24
Hillingdon,House - single occupancy,11/02/2017 00:46
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/02/2017 01:00
Bromley,Caravan/Mobile home (permanent dwelling),12/02/2017 01:52
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/02/2017 11:46
Harrow,Converted Flat/Maisonettes - 3 or more storeys,12/02/2017 23:34
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/02/2017 20:16
Enfield,House - single occupancy,12/02/2017 14:25
Greenwich,House - single occupancy,12/02/2017 15:01
Waltham Forest,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/02/2017 18:37
Bexley,House - single occupancy,12/02/2017 15:54
Hackney,Converted Flat/Maisonettes - 3 or more storeys,12/02/2017 21:38
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/02/2017 10:17
Hackney,Converted Flat/Maisonette - Up to 2 storeys,12/02/2017 11:35
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/02/2017 13:43
Hounslow,House - single occupancy,12/02/2017 20:38
Not geo-coded,House - single occupancy,12/02/2017 17:29
Greenwich,House - single occupancy,12/02/2017 19:41
Wandsworth,Converted Flat/Maisonette - Up to 2 storeys,12/02/2017 01:31
