borough,property_type,timestamp_of_call
Hackney,Converted Flat/Maisonettes - 3 or more storeys,08/03/2017 19:53
Bexley,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/03/2017 19:14
Islington,House - single occupancy,08/03/2017 22:31
Barking And dagenham,Purpose Built Flats/Maisonettes - 10 or more storeys,08/03/2017 01:30
Barnet,House - single occupancy,08/03/2017 08:27
Hammersmith And fulham,Hotel/motel,08/03/2017 19:45
Brent,House - single occupancy,08/03/2017 04:21
Ealing,House - single occupancy,08/03/2017 16:04
Islington,Licensed House in Multiple Occupation - 3 or more storeys,08/03/2017 06:06
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/03/2017 14:04
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/03/2017 18:34
Hackney,House - single occupancy,09/03/2017 20:01
Southwark,Converted Flat/Maisonettes - 3 or more storeys,09/03/2017 01:54
Merton,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/03/2017 10:08
Richmond Upon thames,House - single occupancy,09/03/2017 19:19
Hammersmith And fulham,House - single occupancy,09/03/2017 18:27
Bexley,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/03/2017 21:52
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/03/2017 22:32
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/03/2017 23:54
Ealing,Self contained Sheltered Housing,09/03/2017 21:02
Lewisham,House - single occupancy,09/03/2017 09:05
Hounslow,Unlicensed House in Multiple Occupation - Up to 2 storeys,09/03/2017 20:32
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/03/2017 00:27
Ealing,House - single occupancy,09/03/2017 11:28
Wandsworth,Converted Flat/Maisonette - Up to 2 storeys,09/03/2017 14:07
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/03/2017 12:12
Hackney,Purpose Built Flats/Maisonettes - 10 or more storeys,09/03/2017 15:36
Lewisham,Converted Flat/Maisonettes - 3 or more storeys,10/03/2017 23:07
Wandsworth,House - single occupancy,10/03/2017 20:22
Greenwich,House - single occupancy,10/03/2017 12:56
Hounslow,Converted Flat/Maisonettes - 3 or more storeys,10/03/2017 01:30
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,10/03/2017 23:14
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,10/03/2017 14:24
Southwark,House - single occupancy,10/03/2017 19:28
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/03/2017 22:34
Hillingdon,House - single occupancy,10/03/2017 08:20
Hackney,Boarding House/B&B for homeless/asylum seekers,10/03/2017 20:53
Southwark,Self contained Sheltered Housing,10/03/2017 07:50
Bromley,House - single occupancy,10/03/2017 17:34
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/03/2017 19:26
Bromley,House - single occupancy,10/03/2017 20:41
Kingston Upon thames,Converted Flat/Maisonettes - 3 or more storeys,11/03/2017 21:17
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/03/2017 11:20
Sutton,Nursing/Care Home/Hospice,11/03/2017 23:26
Haringey,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/03/2017 16:18
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/03/2017 18:54
Sutton,House - single occupancy,11/03/2017 16:54
Bexley,Self contained Sheltered Housing,12/03/2017 17:18
Southwark,Purpose Built Flats/Maisonettes - 10 or more storeys,12/03/2017 13:17
Westminster,Self contained Sheltered Housing,12/03/2017 20:25
Haringey,Converted Flat/Maisonettes - 3 or more storeys,12/03/2017 13:20
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/03/2017 22:38
Barking And dagenham,Hotel/motel,12/03/2017 10:23
Newham,House - single occupancy,12/03/2017 17:19
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/03/2017 04:11
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/03/2017 13:15
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/03/2017 23:42
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/03/2017 13:29
Wandsworth,House - single occupancy,12/03/2017 11:01
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/03/2017 16:12
Greenwich,House - single occupancy,13/03/2017 17:18
Croydon,House - single occupancy,13/03/2017 03:12
Wandsworth,Converted Flat/Maisonettes - 3 or more storeys,13/03/2017 11:38
Hackney,House - single occupancy,13/03/2017 18:58
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/03/2017 21:41
Brent,Converted Flat/Maisonettes - 3 or more storeys,13/03/2017 07:14
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/03/2017 11:16
Brent,Converted Flat/Maisonette - Up to 2 storeys,13/03/2017 19:29
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/03/2017 19:36
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,13/03/2017 18:17
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,13/03/2017 10:33
Hounslow,House - single occupancy,14/03/2017 14:52
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,14/03/2017 17:23
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/03/2017 10:47
Hillingdon,House - single occupancy,14/03/2017 00:12
Newham,House - single occupancy,14/03/2017 19:16
Barnet,Converted Flat/Maisonette - Up to 2 storeys,14/03/2017 16:46
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,14/03/2017 16:37
Newham,House - single occupancy,14/03/2017 19:05
Hackney,Converted Flat/Maisonette - Up to 2 storeys,14/03/2017 17:00
Havering,House - single occupancy,14/03/2017 23:24
Barnet,Self contained Sheltered Housing,14/03/2017 19:08
Enfield,Converted Flat/Maisonette - Up to 2 storeys,14/03/2017 20:16
Islington,House - single occupancy,14/03/2017 11:33
Richmond Upon thames,House - single occupancy,14/03/2017 18:35
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/03/2017 11:42
Waltham Forest,House - single occupancy,14/03/2017 00:49
Haringey,House - single occupancy,15/03/2017 16:34
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,15/03/2017 11:52
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/03/2017 21:13
Kensington And chelsea,House - single occupancy,15/03/2017 15:27
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/03/2017 10:36
Newham,House - single occupancy,15/03/2017 08:21
Lambeth,Purpose Built Flats/Maisonettes - 10 or more storeys,15/03/2017 02:56
Newham,Nursing/Care Home/Hospice,15/03/2017 06:54
Richmond Upon thames,Purpose Built Flats/Maisonettes - 4 to 9 storeys,15/03/2017 13:56
Croydon,Converted Flat/Maisonette - Up to 2 storeys,15/03/2017 05:59
Wandsworth,Hostel (e.g. for homeless people),15/03/2017 18:13
Hillingdon,House - single occupancy,16/03/2017 16:06
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/03/2017 02:55
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,16/03/2017 18:41
Bromley,Purpose Built Flats/Maisonettes - 4 to 9 storeys,16/03/2017 18:37
Hammersmith And fulham,Self contained Sheltered Housing,16/03/2017 04:01
Wandsworth,Self contained Sheltered Housing,16/03/2017 01:45
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/03/2017 23:33
Not geo-coded,House - single occupancy,16/03/2017 06:32
Croydon,House - single occupancy,16/03/2017 00:35
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/03/2017 12:24
Barking And dagenham,House - single occupancy,16/03/2017 17:34
Havering,House - single occupancy,16/03/2017 01:28
Camden,House - single occupancy,16/03/2017 09:15
Kingston Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/03/2017 13:03
Bromley,House - single occupancy,17/03/2017 13:29
Brent,Converted Flat/Maisonettes - 3 or more storeys,17/03/2017 20:02
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 02:43
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,17/03/2017 19:11
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/03/2017 15:34
Redbridge,Converted Flat/Maisonettes - 3 or more storeys,17/03/2017 17:18
Kensington And chelsea,House - single occupancy,17/03/2017 15:27
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/03/2017 19:24
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 22:13
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 01:49
Brent,Unlicensed House in Multiple Occupation - Up to 2 storeys,17/03/2017 10:40
Hillingdon,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/03/2017 17:58
Hillingdon,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/03/2017 19:35
Lambeth,House - single occupancy,17/03/2017 09:26
Hillingdon,Student Hall of Residence,17/03/2017 11:35
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/03/2017 09:31
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 20:47
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 21:15
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 19:31
Lewisham,Hostel (e.g. for homeless people),17/03/2017 20:44
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 00:59
Sutton,House - single occupancy,17/03/2017 17:51
Greenwich,House - single occupancy,17/03/2017 23:24
Bexley,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/03/2017 13:20
Harrow,House - single occupancy,18/03/2017 21:26
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/03/2017 23:42
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/03/2017 19:44
Hammersmith And fulham,Converted Flat/Maisonettes - 3 or more storeys,18/03/2017 03:42
Sutton,House - single occupancy,18/03/2017 16:52
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/03/2017 18:41
Enfield,Nursing/Care Home/Hospice,18/03/2017 12:04
Hammersmith And fulham,Converted Flat/Maisonettes - 3 or more storeys,18/03/2017 00:33
Lewisham,Purpose Built Flats/Maisonettes - 10 or more storeys,18/03/2017 10:52
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/03/2017 18:48
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/03/2017 01:46
Bexley,House - single occupancy,18/03/2017 15:15
Wandsworth,House - single occupancy,18/03/2017 18:50
Harrow,House - single occupancy,18/03/2017 14:34
Westminster,Self contained Sheltered Housing,18/03/2017 15:08
Newham,House - single occupancy,18/03/2017 22:54
Waltham Forest,House - single occupancy,18/03/2017 17:06
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,19/03/2017 16:46
Croydon,Nursing/Care Home/Hospice,19/03/2017 08:14
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,19/03/2017 18:06
Islington,Converted Flat/Maisonettes - 3 or more storeys,19/03/2017 23:01
Lambeth,Purpose Built Flats/Maisonettes - 10 or more storeys,19/03/2017 00:26
Westminster,Other Dwelling,19/03/2017 20:22
Greenwich,Self contained Sheltered Housing,19/03/2017 13:12
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,19/03/2017 21:35
Ealing,House - single occupancy,19/03/2017 13:12
Lewisham,House - single occupancy,19/03/2017 21:29
Harrow,House - single occupancy,19/03/2017 20:58
Westminster,Converted Flat/Maisonettes - 3 or more storeys,19/03/2017 10:28
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,19/03/2017 15:26
Croydon,House - single occupancy,19/03/2017 17:28
Haringey,Converted Flat/Maisonettes - 3 or more storeys,19/03/2017 10:43
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/03/2017 10:36
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/03/2017 04:33
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,19/03/2017 15:03
Lewisham,Converted Flat/Maisonette - Up to 2 storeys,20/03/2017 21:53
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/03/2017 10:54
Not geo-coded,House - single occupancy,20/03/2017 18:44
Sutton,House - single occupancy,20/03/2017 18:08
Redbridge,House - single occupancy,20/03/2017 20:48
Richmond Upon thames,Self contained Sheltered Housing,20/03/2017 18:34
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/03/2017 15:50
Hillingdon,House - single occupancy,20/03/2017 12:34
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/03/2017 17:41
Hackney,Converted Flat/Maisonettes - 3 or more storeys,20/03/2017 10:17
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/03/2017 12:55
Merton,Licensed House in Multiple Occupation - 3 or more storeys,20/03/2017 11:25
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,20/03/2017 07:07
Croydon,House - single occupancy,21/03/2017 07:18
Wandsworth,House - single occupancy,21/03/2017 11:11
Lambeth,Self contained Sheltered Housing,21/03/2017 16:46
Brent,Self contained Sheltered Housing,21/03/2017 12:55
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/03/2017 18:19
Redbridge,House - single occupancy,21/03/2017 10:10
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/03/2017 04:35
City Of london,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/03/2017 17:33
Ealing,Converted Flat/Maisonettes - 3 or more storeys,21/03/2017 11:56
Haringey,Unlicensed House in Multiple Occupation - 3 or more storeys,21/03/2017 17:28
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/03/2017 19:28
Croydon,House - single occupancy,21/03/2017 18:42
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/03/2017 02:26
Hammersmith And fulham,Converted Flat/Maisonettes - 3 or more storeys,21/03/2017 21:20
Enfield,House - single occupancy,22/03/2017 22:43
Islington,Self contained Sheltered Housing,22/03/2017 20:31
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/03/2017 14:52
Hammersmith And fulham,House - single occupancy,22/03/2017 20:28
Waltham Forest,Self contained Sheltered Housing,22/03/2017 12:17
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/03/2017 02:17
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/03/2017 03:07
Bromley,House - single occupancy,22/03/2017 12:59
Harrow,Licensed House in Multiple Occupation - Up to 2 storeys,22/03/2017 21:49
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/03/2017 18:22
Camden,House - single occupancy,22/03/2017 09:58
Barking And dagenham,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/03/2017 14:42
Brent,House - single occupancy,22/03/2017 18:31
Hackney,Self contained Sheltered Housing,22/03/2017 17:55
Newham,Purpose Built Flats/Maisonettes - 10 or more storeys,22/03/2017 21:58
Tower Hamlets,Converted Flat/Maisonettes - 3 or more storeys,22/03/2017 21:09
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 20:42
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 16:12
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 09:53
Harrow,House - single occupancy,23/03/2017 13:21
Greenwich,Converted Flat/Maisonettes - 3 or more storeys,23/03/2017 16:46
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/03/2017 02:32
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 17:43
Hounslow,House - single occupancy,23/03/2017 19:54
Barnet,House - single occupancy,23/03/2017 11:09
Barnet,House - single occupancy,23/03/2017 06:33
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 08:37
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/03/2017 18:29
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 13:00
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 18:15
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 13:31
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/03/2017 19:01
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/03/2017 12:11
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/03/2017 16:00
Waltham Forest,House - single occupancy,24/03/2017 21:45
Merton,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/03/2017 17:07
Merton,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/03/2017 18:26
Barnet,House - single occupancy,24/03/2017 17:47
Barnet,House in Multiple Occupation - Up to 2 storeys (not known if licensed),24/03/2017 19:28
Harrow,House - single occupancy,24/03/2017 19:32
Haringey,House - single occupancy,24/03/2017 17:28
Barking And dagenham,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/03/2017 18:10
Enfield,House - single occupancy,24/03/2017 19:40
Haringey,House - single occupancy,24/03/2017 13:39
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/03/2017 13:34
Westminster,Hotel/motel,24/03/2017 15:53
Camden,Converted Flat/Maisonettes - 3 or more storeys,24/03/2017 03:21
Greenwich,House - single occupancy,24/03/2017 10:36
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/03/2017 00:51
Ealing,House - single occupancy,24/03/2017 14:10
Redbridge,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/03/2017 14:07
Haringey,Self contained Sheltered Housing,24/03/2017 17:42
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/03/2017 09:25
Haringey,Self contained Sheltered Housing,24/03/2017 11:09
Bexley,Hotel/motel,25/03/2017 23:21
Kingston Upon thames,House - single occupancy,25/03/2017 18:27
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/03/2017 15:57
Lewisham,Licensed House in Multiple Occupation - Up to 2 storeys,25/03/2017 20:09
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/03/2017 16:29
Brent,Converted Flat/Maisonettes - 3 or more storeys,25/03/2017 16:47
Redbridge,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/03/2017 03:36
Waltham Forest,House - single occupancy,25/03/2017 16:59
Harrow,House - single occupancy,25/03/2017 15:26
Ealing,Converted Flat/Maisonette - Up to 2 storeys,25/03/2017 17:45
Enfield,Converted Flat/Maisonette - Up to 2 storeys,25/03/2017 18:43
Islington,Converted Flat/Maisonettes - 3 or more storeys,25/03/2017 18:05
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/03/2017 12:44
Lewisham,House - single occupancy,25/03/2017 19:57
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/03/2017 07:13
Harrow,Converted Flat/Maisonette - Up to 2 storeys,25/03/2017 14:35
Sutton,Self contained Sheltered Housing,26/03/2017 17:37
Islington,Hostel (e.g. for homeless people),26/03/2017 23:36
Hackney,Converted Flat/Maisonette - Up to 2 storeys,26/03/2017 17:15
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,26/03/2017 09:45
Southwark,Converted Flat/Maisonette - Up to 2 storeys,26/03/2017 11:33
Southwark,House in Multiple Occupation - Up to 2 storeys (not known if licensed),26/03/2017 21:43
Wandsworth,House - single occupancy,26/03/2017 10:23
Havering,Licensed House in Multiple Occupation - Up to 2 storeys,26/03/2017 17:55
Hounslow,Self contained Sheltered Housing,26/03/2017 11:51
Harrow,Retirement/Old Persons Home,26/03/2017 09:13
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,26/03/2017 20:22
Hounslow,Purpose Built Flats/Maisonettes - 10 or more storeys,26/03/2017 22:55
Greenwich,House - single occupancy,26/03/2017 07:16
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,26/03/2017 18:28
Ealing,House - single occupancy,26/03/2017 12:34
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,26/03/2017 14:29
Kensington And chelsea,Purpose Built Flats/Maisonettes - 10 or more storeys,26/03/2017 08:13
Wandsworth,Purpose Built Flats/Maisonettes - 10 or more storeys,26/03/2017 14:26
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,26/03/2017 00:58
Redbridge,House - single occupancy,27/03/2017 14:22
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/03/2017 22:43
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/03/2017 16:56
Lambeth,Converted Flat/Maisonette - Up to 2 storeys,27/03/2017 22:20
Wandsworth,Nursing/Care Home/Hospice,27/03/2017 11:08
Not geo-coded,House - single occupancy,27/03/2017 15:30
Camden,House - single occupancy,27/03/2017 19:32
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/03/2017 09:47
Ealing,House - single occupancy,27/03/2017 13:18
Lewisham,Converted Flat/Maisonette - Up to 2 storeys,27/03/2017 17:00
Croydon,House - single occupancy,27/03/2017 02:48
Barnet,House - single occupancy,27/03/2017 19:51
Barnet,House - single occupancy,27/03/2017 14:41
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/03/2017 09:54
Harrow,House - single occupancy,27/03/2017 00:09
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/03/2017 15:09
Westminster,Hotel/motel,27/03/2017 11:17
Westminster,Converted Flat/Maisonettes - 3 or more storeys,27/03/2017 19:12
Brent,Purpose Built Flats/Maisonettes - 10 or more storeys,28/03/2017 12:58
Harrow,House - single occupancy,28/03/2017 21:16
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/03/2017 10:35
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/03/2017 21:51
Hillingdon,House - single occupancy,28/03/2017 16:46
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/03/2017 12:56
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,28/03/2017 21:33
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/03/2017 11:14
Haringey,Converted Flat/Maisonette - Up to 2 storeys,28/03/2017 19:00
Hounslow,Bungalow - single occupancy,28/03/2017 21:09
Barnet,Purpose Built Flats/Maisonettes - 4 to 9 storeys,28/03/2017 19:20
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/03/2017 13:56
Greenwich,House - single occupancy,28/03/2017 09:14
Newham,House - single occupancy,28/03/2017 14:44
Barking And dagenham,Self contained Sheltered Housing,28/03/2017 12:13
Tower Hamlets,Nursing/Care Home/Hospice,28/03/2017 11:39
Hillingdon,Purpose Built Flats/Maisonettes - Up to 3 storeys,29/03/2017 12:37
Hammersmith And fulham,House - single occupancy,29/03/2017 22:12
Enfield,House - single occupancy,29/03/2017 20:34
Waltham Forest,House - single occupancy,29/03/2017 12:34
Camden,Converted Flat/Maisonettes - 3 or more storeys,29/03/2017 23:58
Hammersmith And fulham,Converted Flat/Maisonette - Up to 2 storeys,29/03/2017 20:50
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,29/03/2017 15:08
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,29/03/2017 19:48
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,29/03/2017 11:26
Wandsworth,House - single occupancy,29/03/2017 22:58
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,29/03/2017 19:25
Camden,House - single occupancy,29/03/2017 07:33
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,29/03/2017 22:16
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,29/03/2017 03:22
Not geo-coded,Bungalow - single occupancy,29/03/2017 13:33
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,30/03/2017 19:32
Barnet,House - single occupancy,30/03/2017 21:07
Ealing,Retirement/Old Persons Home,30/03/2017 20:31
Sutton,House - single occupancy,30/03/2017 16:05
Croydon,House - single occupancy,30/03/2017 07:36
Bromley,Converted Flat/Maisonette - Up to 2 storeys,30/03/2017 17:23
Hillingdon,Purpose Built Flats/Maisonettes - Up to 3 storeys,30/03/2017 20:11
Newham,House in Multiple Occupation - 3 or more storeys (not known if licensed),30/03/2017 23:01
Wandsworth,House - single occupancy,30/03/2017 11:25
Barking And dagenham,House - single occupancy,30/03/2017 20:43
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,30/03/2017 19:20
Richmond Upon thames,Purpose Built Flats/Maisonettes - 4 to 9 storeys,31/03/2017 17:53
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,31/03/2017 21:50
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,31/03/2017 01:08
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,31/03/2017 22:24
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,31/03/2017 12:26
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,31/03/2017 10:57
Sutton,House - single occupancy,31/03/2017 14:58
Hillingdon,House - single occupancy,31/03/2017 22:41
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,31/03/2017 17:01
Hounslow,Converted Flat/Maisonette - Up to 2 storeys,31/03/2017 11:14
Bexley,Self contained Sheltered Housing,31/03/2017 15:18
