country,happiness,income,lifeexp,sanitation,water,urbanpopulation,unemployment,literacy,inequality,murder,energy,childmortality,fertility,hiv,foodsupply,population
Afghanistan,3.9828546047210693,1750.0,57.9,39.2,63.0,11.0,,39.0,,,,73.2,4.8,5800.0,2090.0,33700000
Albania,4.6066508293151855,11000.0,77.6,97.7,91.4,,6.09,96.8,29.0,2.3,808.0,14.0,1.71,,3190.0,2920000
Argentina,6.6971306800842285,19100.0,76.5,94.8,99.6,43.1,0.856,97.9,41.4,4.65,2020.0,11.6,2.31,95000.0,3230.0,43400000
Armenia,4.3483195304870605,8180.0,75.4,91.6,98.9,36.7,7.11,99.6,32.4,1.12,1020.0,14.0,1.66,3600.0,2930.0,2920000
Australia,7.309060573577881,43800.0,82.6,100.0,100.0,60.2,1.24,,34.7,1.11,5480.0,3.8,1.86,22000.0,3280.0,23800000
Austria,7.076447010040283,44100.0,81.4,100.0,100.0,21.2,1.43,,30.5,0.508,3800.0,3.6,1.49,18000.0,3770.0,8680000
Azerbaijan,5.146774768829346,16700.0,71.8,89.3,84.4,22.9,2.21,99.8,16.6,0.231,1500.0,32.0,2.09,6700.0,3120.0,9620000
Bahrain,6.007375240325928,44500.0,76.8,100.0,100.0,,,94.6,,0.521,10600.0,7.7,2.05,,,1370000
Bangladesh,4.633473873138428,3130.0,72.4,46.9,97.3,13.7,0.9690000000000001,57.7,32.1,,222.0,36.3,2.13,7700.0,2450.0,161000000
Belarus,5.718907833099365,17200.0,73.3,94.3,98.0,20.5,,99.6,26.7,10.1,2930.0,4.0,1.69,20000.0,3250.0,9490000
Belgium,6.904219150543213,41700.0,80.9,99.5,100.0,26.8,2.46,,27.7,0.978,4690.0,4.0,1.79,20000.0,3730.0,11300000
Benin,3.624664306640625,1990.0,63.9,13.9,67.0,,,28.7,47.8,,417.0,100.0,5.05,64000.0,2620.0,10600000
Bhutan,5.082128524780273,7740.0,73.8,62.9,97.6,,0.767,52.8,38.8,,355.0,33.6,2.09,1300.0,,787000
Bolivia,5.834329128265381,6530.0,73.0,52.6,92.9,41.2,0.473,91.2,46.7,,789.0,38.2,2.92,17000.0,2260.0,10700000
Bosnia and Herzegovina,5.117177963256836,10900.0,77.4,94.8,97.7,,7.9,98.0,32.7,1.01,2190.0,6.1,1.35,,3150.0,3540000
Botswana,3.761964797973633,15400.0,64.6,60.0,79.2,,,85.1,60.5,,1250.0,42.1,2.77,300000.0,2330.0,2210000
Brazil,6.546896934509277,14700.0,75.2,86.1,97.5,40.9,,90.4,51.3,15.7,1480.0,15.7,1.74,490000.0,3260.0,206000000
Bulgaria,4.865401268005371,17000.0,75.0,86.0,99.3,17.5,3.24,98.3,37.4,1.08,2480.0,8.2,1.55,3900.0,2830.0,7180000
Burkina Faso,4.4189300537109375,1550.0,60.3,22.5,53.9,12.1,,28.7,35.3,,,88.5,5.44,120000.0,2720.0,18100000
Cambodia,4.162164688110352,3290.0,68.3,48.8,75.0,11.5,0.13,73.9,,,417.0,32.0,2.59,64000.0,2480.0,15500000
Cameroon,5.037964820861816,2990.0,59.7,38.8,65.3,26.6,1.22,71.3,46.6,,342.0,83.3,4.78,550000.0,2670.0,22800000
Canada,7.4127726554870605,43000.0,81.7,98.5,98.9,45.6,0.6990000000000001,,34.0,1.81,7600.0,5.1,1.59,71000.0,3490.0,35900000
Chad,4.3226752281188965,2050.0,59.2,9.55,42.5,8.47,,35.4,43.3,,,131.0,6.05,210000.0,2110.0,14000000
Chile,6.532749652862549,22500.0,80.1,99.9,100.0,36.7,0.674,98.5,47.7,3.0,2030.0,8.4,1.79,51000.0,2980.0,17800000
China,5.303877830505371,13600.0,76.3,75.0,95.8,26.1,,95.1,42.2,,2240.0,10.7,1.62,780000.0,3110.0,1400000000
Colombia,6.387571811676025,13000.0,78.0,84.4,96.5,42.1,0.966,93.6,51.1,77.6,712.0,15.8,1.87,150000.0,2800.0,48200000
"Congo, Rep.",4.690830230712891,5540.0,62.6,15.0,68.3,59.3,,,48.9,,540.0,55.4,4.72,83000.0,2210.0,5000000
"Congo, Dem. Rep.",3.9027416706085205,750.0,60.9,19.7,41.8,23.4,,61.2,42.1,,390.0,97.6,6.17,,,76200000
Costa Rica,6.854004383087158,14900.0,80.9,97.1,99.7,27.0,1.19,96.3,48.4,5.25,1030.0,9.1,1.8,8800.0,2850.0,4810000
Croatia,5.205438137054443,20600.0,77.3,97.5,99.6,,5.53,98.9,31.1,0.6459999999999999,1900.0,4.8,1.47,1200.0,3060.0,4240000
Cyprus,5.43916130065918,30400.0,80.5,99.4,100.0,,3.44,98.7,34.0,1.42,1710.0,2.7,1.35,,2650.0,1160000
Czech Republic,6.608017444610596,30400.0,78.9,99.1,99.9,12.0,1.65,,25.9,0.66,3860.0,3.2,1.52,2100.0,3260.0,10600000
Denmark,7.514424800872803,45500.0,80.7,99.6,100.0,22.4,1.36,,28.2,0.5720000000000001,2820.0,4.3,1.79,6100.0,3370.0,5690000
Dominican Republic,5.061862468719482,13400.0,75.5,82.7,94.5,28.0,0.9229999999999999,90.1,44.7,,734.0,31.5,2.45,44000.0,2610.0,10500000
Ecuador,5.964075088500977,10800.0,77.9,86.1,92.6,27.7,0.32799999999999996,91.6,46.0,13.6,892.0,21.5,2.51,35000.0,2340.0,16100000
Egypt,4.762538433074951,10100.0,71.9,93.2,98.4,25.2,3.63,73.0,31.8,0.166,815.0,23.7,3.31,9500.0,3520.0,93800000
El Salvador,6.018496036529541,7850.0,75.0,91.1,93.0,17.4,,84.5,40.6,53.6,647.0,15.5,2.1,24000.0,2580.0,6310000
Estonia,5.628908634185791,27300.0,77.2,99.6,99.6,,1.71,99.8,32.7,2.74,4170.0,3.1,1.62,9900.0,3250.0,1320000
Ethiopia,4.573154926300049,1530.0,65.2,7.08,39.1,3.88,0.589,39.0,39.1,,497.0,61.3,4.32,790000.0,2130.0,99900000
Finland,7.447925567626953,39000.0,81.5,99.4,100.0,22.3,1.77,,27.1,1.4,5920.0,2.4,1.8,2900.0,3370.0,5480000
France,6.3576250076293945,37800.0,82.2,98.7,100.0,22.5,2.9,,32.7,0.44,3690.0,3.9,1.98,160000.0,3480.0,64500000
Gabon,4.661012649536133,16800.0,66.0,40.9,87.5,,,89.0,42.2,,2710.0,50.6,3.85,46000.0,2830.0,1930000
Georgia,4.121940612792969,9030.0,73.7,84.9,93.3,29.0,,99.7,36.4,1.7,1180.0,11.4,2.0,4900.0,2910.0,3950000
Germany,7.037137508392334,43800.0,80.8,99.2,100.0,9.54,1.41,,31.7,0.506,3820.0,3.9,1.45,73000.0,3500.0,81700000
Ghana,3.9859161376953125,3930.0,65.4,14.3,77.8,17.8,1.49,71.5,42.4,,335.0,61.0,4.04,230000.0,3020.0,27600000
Greece,5.622519016265869,24100.0,81.0,99.0,100.0,29.2,8.97,97.3,36.0,0.752,2180.0,3.8,1.31,11000.0,3400.0,11200000
Guatemala,6.464986801147461,7290.0,72.5,67.4,93.6,16.8,0.22399999999999998,75.9,48.3,,830.0,29.5,3.03,65000.0,2420.0,16300000
Guinea,3.5046935081481934,1180.0,60.0,22.0,67.4,14.2,,25.3,33.7,,,92.0,4.93,85000.0,2570.0,12100000
Haiti,3.5697624683380127,1650.0,63.9,30.5,64.2,22.8,,48.7,41.1,,393.0,68.9,2.97,120000.0,2090.0,10700000
Honduras,4.8454365730285645,4310.0,72.5,79.8,92.2,13.8,0.405,85.1,49.6,,608.0,19.4,2.51,33000.0,2640.0,8960000
Hungary,5.344383239746094,24800.0,75.7,98.0,100.0,17.7,2.06,99.0,30.4,1.02,2430.0,5.4,1.36,4100.0,3040.0,9780000
Iceland,7.49807071685791,42700.0,82.2,98.8,100.0,,0.58,,27.8,0.7440000000000001,17500.0,2.2,1.95,600.0,3380.0,330000
India,4.342079162597656,5750.0,68.2,44.2,87.6,14.7,,62.8,35.1,,637.0,45.2,2.35,2400000.0,2460.0,1310000000
Indonesia,5.042799949645996,10400.0,71.4,67.9,89.5,13.1,1.26,92.8,39.5,,884.0,27.3,2.39,380000.0,2780.0,258000000
Iran,4.749955654144287,16000.0,75.8,88.3,94.9,25.7,2.11,85.0,38.8,,3020.0,15.7,1.69,96000.0,3090.0,79400000
Iraq,4.493377208709717,14900.0,67.6,85.7,86.1,24.8,,78.5,29.5,,1410.0,32.2,4.43,,2550.0,36100000
Ireland,6.830125331878662,60900.0,81.1,92.2,98.9,24.7,3.32,,31.8,0.544,2820.0,3.7,1.99,7800.0,3600.0,4700000
Israel,7.079411029815674,32000.0,82.0,100.0,100.0,57.3,0.525,91.8,41.4,1.7,2780.0,3.8,3.0,8500.0,3610.0,8060000
Italy,5.847683906555176,34200.0,82.3,99.3,100.0,18.4,3.63,99.0,35.4,0.564,2480.0,3.4,1.46,150000.0,3580.0,59500000
Cote d'Ivoire,4.445038795471191,3250.0,59.2,29.9,73.1,19.6,,56.9,41.5,,616.0,95.1,4.97,360000.0,2800.0,23100000
Japan,5.8796844482421875,37800.0,83.8,100.0,98.9,63.9,0.8440000000000001,,32.1,0.20800000000000002,3430.0,3.0,1.44,7900.0,2730.0,128000000
Jordan,5.404593467712402,8490.0,76.8,96.7,98.6,19.5,,95.9,33.7,1.94,929.0,18.1,3.45,,3100.0,9160000
Kazakhstan,5.949995040893555,23500.0,71.6,97.8,91.1,14.6,0.882,99.7,26.9,5.89,4430.0,12.6,2.66,19000.0,3260.0,17700000
Kenya,4.3576178550720215,2840.0,66.3,29.8,58.5,10.6,,72.2,40.8,,513.0,51.0,3.92,1600000.0,2210.0,47200000
Kuwait,6.146031856536865,69300.0,79.8,100.0,100.0,65.2,,93.9,,0.981,8960.0,8.7,1.99,,3500.0,3940000
Kyrgyz Republic,4.905375957489014,3240.0,71.1,96.6,87.3,,1.67,99.2,29.0,3.74,650.0,22.3,3.05,12000.0,2820.0,5870000
Latvia,5.8805975914001465,23100.0,74.8,92.9,98.6,,3.12,99.8,34.2,4.26,2180.0,5.0,1.53,9100.0,3170.0,1990000
Lebanon,5.171971321105957,13100.0,80.1,95.4,92.3,38.1,,89.6,31.8,,1340.0,8.4,1.72,2900.0,3070.0,5850000
Liberia,2.7015912532806396,785.0,63.8,16.9,69.9,28.2,0.441,42.9,33.2,,,70.1,4.65,25000.0,2200.0,4500000
Libya,5.6154046058654785,13500.0,74.2,99.7,96.8,18.2,,89.5,,,2880.0,13.4,2.31,,,6230000
Lithuania,5.71137809753418,27000.0,74.9,93.6,97.4,,2.8,99.7,37.4,3.66,2390.0,5.1,1.64,1500.0,3420.0,2930000
Luxembourg,6.701571464538574,95300.0,82.0,97.6,100.0,,1.61,,33.8,0.711,6550.0,2.5,1.56,600.0,3540.0,567000
"Macedonia, FYR",4.975589752197266,12800.0,74.6,90.9,96.8,,10.7,97.4,35.6,0.726,1260.0,12.0,1.52,,2950.0,2080000
Madagascar,3.5925140380859375,1380.0,62.3,9.69,50.6,10.8,,64.5,42.6,,,48.4,4.24,34000.0,2050.0,24200000
Malawi,3.867638349533081,1090.0,59.4,43.5,67.2,5.15,1.22,61.3,45.5,,,59.1,4.65,910000.0,2370.0,17600000
Malaysia,6.3221211433410645,25000.0,75.4,99.6,96.4,22.3,0.182,93.1,41.0,0.435,2970.0,8.2,2.06,81000.0,2920.0,30700000
Mali,4.582098484039307,1920.0,61.4,31.3,74.3,12.7,1.43,33.4,33.0,,,114.0,6.15,110000.0,2890.0,17500000
Malta,6.613394260406494,34400.0,81.3,100.0,100.0,,1.42,92.4,29.4,0.606,1780.0,6.9,1.44,350.0,3380.0,428000
Mauritania,3.922664165496826,3600.0,70.0,44.6,69.6,25.3,,58.6,32.6,,,83.9,4.74,24000.0,2880.0,4180000
Mexico,6.2362871170043945,16700.0,76.2,89.2,98.3,39.4,0.0958,93.5,45.8,19.0,1490.0,15.0,2.22,180000.0,3070.0,126000000
Moldova,6.017472267150879,4750.0,72.1,78.4,86.7,,0.396,99.0,27.0,4.02,928.0,16.2,1.25,15000.0,2710.0,4070000
Mongolia,4.982719898223877,11400.0,68.2,59.2,83.2,45.8,1.47,97.4,32.0,,1840.0,18.8,2.79,600.0,2510.0,2980000
Montenegro,5.1249213218688965,15300.0,76.9,95.9,97.6,,6.39,98.5,31.9,1.81,1540.0,4.1,1.68,,3490.0,628000
Morocco,5.163156986236572,7290.0,74.8,83.5,83.0,21.6,2.28,67.1,39.5,,553.0,28.0,2.53,32000.0,3400.0,34800000
Mozambique,4.54976749420166,1120.0,59.0,23.6,47.3,8.73,,50.6,54.0,,428.0,75.1,5.31,1400000.0,2280.0,28000000
Myanmar,4.223846435546875,5070.0,69.5,64.7,67.5,11.7,0.124,92.7,38.1,,372.0,52.7,2.23,220000.0,2570.0,52400000
Nepal,4.812436580657959,2300.0,69.7,46.1,87.7,4.11,0.415,57.4,32.8,,413.0,36.1,2.16,49000.0,2670.0,28700000
Netherlands,7.324437141418457,46400.0,81.6,97.7,100.0,12.5,2.14,,28.2,0.603,4230.0,3.9,1.75,25000.0,3230.0,16900000
New Zealand,7.418120861053467,34600.0,81.5,100.0,100.0,31.9,0.884,,,1.2,4440.0,5.6,2.01,2600.0,3140.0,4610000
Nicaragua,5.924112796783447,4960.0,78.0,76.3,82.3,16.9,0.47200000000000003,78.0,46.2,,609.0,20.3,2.23,7600.0,2640.0,6080000
Niger,3.6714537143707275,897.0,61.2,12.9,45.8,5.57,,28.7,34.3,,151.0,95.0,7.29,65000.0,2550.0,19900000
Nigeria,4.932914733886719,5670.0,64.0,32.6,67.3,16.1,,51.1,43.0,,763.0,108.0,5.59,3400000.0,2700.0,181000000
Norway,7.603433609008789,63700.0,82.1,98.1,100.0,18.7,0.812,,27.5,0.389,5820.0,2.7,1.84,4500.0,3490.0,5200000
Pakistan,4.823194980621338,4700.0,67.3,58.3,88.5,20.5,0.96,54.9,33.5,,484.0,81.0,3.55,130000.0,2440.0,189000000
Palestine,4.695239067077637,2650.0,71.8,96.0,87.6,,3.25,95.3,34.4,,,20.0,4.08,,,4660000
Panama,6.605550289154053,20700.0,78.7,76.9,95.0,42.2,0.32899999999999996,94.1,50.8,7.52,1080.0,16.9,2.54,18000.0,2730.0,3970000
Paraguay,5.5597243309021,8640.0,74.4,91.2,98.9,44.7,0.852,93.9,47.6,,789.0,20.6,2.51,13000.0,2590.0,6640000
Peru,5.577263355255127,11800.0,79.5,76.8,89.9,31.3,0.0323,89.6,43.5,,768.0,16.0,2.43,74000.0,2700.0,31400000
Philippines,5.547489166259766,6880.0,70.1,75.0,90.5,14.2,0.0182,95.4,,,476.0,28.0,2.96,19000.0,2570.0,102000000
Poland,6.007021903991699,25300.0,77.7,98.1,97.9,4.58,1.97,99.7,,0.588,2490.0,4.9,1.31,35000.0,3450.0,38300000
Portugal,5.08086633682251,26500.0,80.8,99.4,99.9,40.4,4.37,95.4,35.5,0.838,2130.0,3.5,1.25,48000.0,3480.0,10400000
Qatar,6.3745293617248535,120000.0,80.5,100.0,100.0,,0.0676,96.3,,1.09,18600.0,8.6,1.93,,,2480000
Romania,5.777491092681885,20500.0,75.1,81.8,100.0,9.33,1.98,97.7,35.9,1.15,1590.0,9.2,1.51,16000.0,3360.0,19900000
Russia,5.995538711547852,24100.0,70.8,88.8,96.4,22.6,1.52,99.7,37.7,21.2,4940.0,8.0,1.74,,3360.0,144000000
Rwanda,3.4831089973449707,1720.0,67.3,62.3,56.7,8.18,,65.8,45.1,,,40.5,3.97,210000.0,2230.0,11600000
Saudi Arabia,6.345491886138916,50700.0,76.8,100.0,100.0,45.7,1.06,87.2,,,6940.0,13.3,2.58,,3260.0,31600000
Senegal,4.617000579833984,2300.0,65.9,48.4,75.2,18.4,0.475,49.7,40.3,,272.0,49.5,4.84,53000.0,2460.0,15000000
Serbia,5.317685127258301,13300.0,75.7,94.6,91.2,19.3,4.96,98.0,,1.17,1860.0,6.2,1.6,3500.0,2730.0,8850000
Sierra Leone,4.908617973327637,1320.0,57.6,14.5,58.1,14.4,0.722,43.3,34.0,,,119.0,4.56,49000.0,2400.0,7240000
Singapore,6.619524955749512,80900.0,83.6,100.0,100.0,100.0,,95.9,,0.361,5120.0,2.7,1.24,3400.0,,5540000
Slovak Republic,6.162004470825195,28300.0,76.8,98.9,97.9,,4.49,,26.5,0.732,3000.0,6.0,1.43,350.0,2940.0,5440000
Slovenia,5.740642070770264,29100.0,80.7,99.1,99.5,,3.01,99.7,25.4,0.56,3170.0,2.4,1.61,600.0,3170.0,2070000
Somalia,5.353644847869873,623.0,57.3,16.2,40.0,12.8,,,,,,137.0,6.37,35000.0,,13900000
South Africa,4.887325763702393,12400.0,61.8,73.1,84.7,34.2,7.52,93.0,63.0,11.0,2700.0,44.1,2.49,5600000.0,3020.0,55300000
South Korea,5.780211448669434,34200.0,80.9,99.9,99.6,50.0,0.193,,31.6,0.87,5410.0,3.5,1.28,15000.0,3330.0,50600000
South Sudan,4.070771217346191,1810.0,58.9,10.4,50.4,,,,46.3,,60.7,93.8,4.94,150000.0,,11900000
Spain,6.3806633949279785,32200.0,82.9,99.9,99.9,24.8,7.2,97.8,36.2,0.557,2570.0,3.4,1.35,150000.0,3170.0,46400000
Sri Lanka,4.611606597900391,11100.0,77.2,94.2,92.3,,1.16,91.2,39.2,7.92,516.0,9.6,2.06,4200.0,2540.0,20700000
Sweden,7.288922309875488,45500.0,82.1,99.3,100.0,15.3,1.42,,29.2,1.08,5100.0,2.9,1.91,9100.0,3180.0,9760000
Switzerland,7.572136878967285,56500.0,83.1,99.9,100.0,16.0,1.46,,32.3,0.521,2960.0,4.1,1.54,20000.0,3390.0,8320000
Syria,3.4619128704071045,3500.0,68.4,92.9,96.7,23.7,,84.1,35.8,,563.0,19.7,2.97,,,18700000
Tajikistan,5.124210834503174,2640.0,71.6,95.5,74.1,,0.478,99.7,34.0,3.06,335.0,44.5,3.4,11000.0,2200.0,8550000
Tanzania,3.660597324371338,2490.0,63.5,23.5,50.1,11.0,0.726,67.8,37.8,,475.0,58.8,5.08,1600000.0,2210.0,53900000
Thailand,6.201762676239014,15200.0,77.6,95.0,98.2,18.9,0.0598,93.5,36.0,3.15,1970.0,12.6,1.5,490000.0,2780.0,68700000
Togo,3.7683019638061523,1350.0,62.1,13.9,62.8,22.0,,60.4,43.1,,457.0,78.0,4.52,150000.0,2450.0,7420000
Tunisia,5.1316118240356445,10800.0,77.4,93.1,94.2,19.4,4.19,79.1,35.8,0.0745,944.0,14.0,2.22,1700.0,3350.0,11300000
Turkey,5.51446533203125,23400.0,79.0,96.4,98.9,36.9,1.37,94.1,42.9,1.35,1660.0,13.6,2.07,5500.0,3710.0,78300000
Turkmenistan,5.791460037231445,15000.0,69.9,96.6,94.5,,,99.6,40.8,8.48,4890.0,52.6,2.93,,2840.0,5570000
Uganda,4.237686634063721,1690.0,61.6,19.2,38.9,6.42,0.6459999999999999,73.2,41.0,,,55.9,5.68,1400000.0,2130.0,40100000
Ukraine,3.964542865753174,7470.0,71.9,95.9,97.7,11.8,1.53,99.7,25.5,9.25,2330.0,9.4,1.53,230000.0,3140.0,44700000
United Arab Emirates,6.568397521972656,66000.0,76.5,100.0,99.6,53.3,,90.0,,,7770.0,7.8,1.77,,3280.0,9150000
United Kingdom,6.515445232391357,38500.0,80.8,99.1,100.0,26.5,1.24,,33.2,0.192,2760.0,4.4,1.88,94000.0,3420.0,65400000
United States,6.863946914672852,52800.0,78.8,100.0,99.2,45.5,0.8290000000000001,,41.0,6.42,6800.0,6.6,1.93,1300000.0,3680.0,320000000
Uruguay,6.628080368041992,19800.0,77.1,95.7,99.2,49.8,0.162,98.1,40.2,4.29,1380.0,9.3,2.01,12000.0,3050.0,3430000
Uzbekistan,5.97236442565918,5700.0,70.0,100.0,91.5,7.6,,99.4,35.3,3.16,1420.0,25.8,2.31,,2760.0,31000000
Venezuela,5.568800449371338,15600.0,75.5,94.9,97.4,29.0,0.795,95.5,46.9,15.9,2270.0,16.6,2.34,99000.0,2630.0,31200000
Vietnam,5.076315402984619,5670.0,74.3,78.2,91.2,15.2,0.299,93.4,34.8,,655.0,22.0,1.96,250000.0,2750.0,93600000
Yemen,2.9826738834381104,2640.0,67.2,59.7,70.4,9.27,0.547,65.3,36.7,,323.0,55.3,4.1,22000.0,2220.0,26900000
Zambia,4.843164443969727,3630.0,58.1,31.1,61.2,13.6,,61.4,57.1,,635.0,66.1,5.04,970000.0,1930.0,16100000
Zimbabwe,3.7031912803649902,1890.0,58.3,38.6,66.6,9.51,2.42,83.6,43.2,,750.0,59.9,3.84,1200000.0,2110.0,15800000
Algeria,,13700.0,77.3,87.5,93.5,6.5,2.15,72.7,27.6,,1320.0,25.5,2.84,,3300.0,39900000
Andorra,,46600.0,82.5,100.0,100.0,,,,,,,2.8,,,,78000
Angola,,6230.0,64.0,39.4,41.0,25.2,1.56,70.4,42.7,,545.0,86.5,5.77,230000.0,2470.0,27900000
Antigua and Barbuda,,20100.0,77.2,87.5,96.7,,,99.0,,,1600.0,8.7,2.06,,2420.0,99900
Bahamas,,21700.0,73.6,92.0,97.8,,,,,14.3,2070.0,11.0,1.78,6500.0,2670.0,387000
Barbados,,15400.0,76.6,96.5,98.1,,,,,6.29,1450.0,12.6,1.8,1400.0,2940.0,284000
Belize,,8060.0,71.9,87.2,97.1,,,70.3,53.3,3.22,597.0,15.6,2.54,4600.0,2750.0,359000
Brunei,,74600.0,76.9,96.3,99.5,,2.15,95.5,,1.27,8630.0,10.0,1.88,,2990.0,418000
Burundi,,749.0,60.0,50.5,55.9,,,87.0,38.6,,,74.6,5.78,80000.0,,10200000
Cape Verde,,5920.0,73.4,65.2,86.5,,,84.9,47.2,,212.0,22.2,2.37,3300.0,2610.0,533000
Central African Republic,,626.0,49.7,25.1,54.1,,,56.6,56.2,,,129.0,4.94,130000.0,1880.0,4550000
Comoros,,1410.0,67.3,34.2,83.7,,,75.5,45.3,,63.9,75.8,4.45,350.0,,777000
Cuba,,20000.0,78.9,90.8,95.2,18.5,0.401,99.8,,6.09,1020.0,5.6,1.72,14000.0,3410.0,11500000
Djibouti,,3140.0,66.1,51.4,76.9,,,,44.1,,177.0,66.2,2.91,9200.0,2610.0,927000
Dominica,,10100.0,71.7,77.9,96.5,,,,,,606.0,33.0,,,2930.0,73200
Equatorial Guinea,,27200.0,65.2,74.5,49.6,,,94.2,,,2120.0,94.0,4.78,20000.0,,1180000
Eritrea,,1240.0,63.4,11.3,19.3,,,68.9,,,170.0,45.9,4.21,23000.0,,4850000
Fiji,,8760.0,65.5,95.7,93.7,,1.22,,36.7,,628.0,22.5,2.54,350.0,2940.0,892000
Gambia,,1590.0,67.0,41.7,80.1,,2.12,51.1,35.9,,86.4,67.5,5.49,14000.0,2630.0,1980000
Grenada,,12700.0,71.4,78.3,95.6,,,,,0.8390000000000001,782.0,15.8,2.13,,2450.0,107000
Guinea-Bissau,,1420.0,58.2,21.5,69.2,,,55.3,50.7,,65.7,91.3,4.71,24000.0,2290.0,1770000
Guyana,,7060.0,67.0,86.2,95.1,,,85.0,44.6,,669.0,33.4,2.53,6200.0,2760.0,769000
Jamaica,,8110.0,74.9,85.4,92.9,,,87.0,45.5,,981.0,15.8,2.03,30000.0,2750.0,2870000
Kiribati,,1870.0,61.6,39.8,64.4,,,,37.0,,114.0,55.9,3.69,,3040.0,112000
Lao,,5430.0,66.8,72.6,80.4,,,72.7,36.4,,,66.1,2.76,10000.0,2450.0,6660000
Lesotho,,2780.0,49.6,43.8,71.6,,,75.8,54.2,,9.58,97.9,3.14,320000.0,2530.0,2170000
Maldives,,12000.0,79.3,95.9,97.9,,,98.4,38.4,,890.0,9.0,2.13,60.0,2730.0,418000
Marshall Islands,,3670.0,64.7,86.9,78.2,,,,,,614.0,36.4,,,,53000
Mauritius,,18900.0,74.5,93.1,99.9,,1.41,88.8,35.8,2.26,1110.0,14.3,1.44,7400.0,3070.0,1260000
"Micronesia, Fed. Sts.",,3290.0,65.3,56.3,88.4,,,,40.1,,,34.3,3.19,,,104000
Monaco,,58800.0,,100.0,100.0,,,,,,,3.5,,,,38300
Namibia,,9910.0,64.3,33.8,78.8,,5.61,76.5,59.1,,762.0,48.0,3.47,190000.0,2170.0,2430000
Nauru,,12300.0,,65.6,100.0,,,,,,,35.6,,,,11300
North Korea,,1390.0,70.6,77.1,99.6,11.8,,100.0,,,474.0,21.1,1.92,,2090.0,25200000
Oman,,40100.0,77.4,99.3,90.9,28.1,,86.9,,0.0578,6140.0,10.9,2.74,,3140.0,4200000
Palau,,14400.0,,100.0,99.6,,,,,,4870.0,16.4,,,,21300
Papua New Guinea,,2750.0,60.5,18.6,36.6,,,62.4,41.9,,,56.2,3.71,28000.0,,7920000
Samoa,,5560.0,71.7,96.6,95.5,,0.528,98.8,42.0,,318.0,17.7,4.03,,2960.0,194000
San Marino,,39200.0,,100.0,100.0,,,,,,,2.9,,,,33000
Sao Tome and Principe,,2940.0,70.3,40.1,79.7,,,69.5,30.8,3.9,270.0,35.2,4.52,600.0,2400.0,196000
Seychelles,,25500.0,73.7,100.0,96.3,,,91.8,46.8,8.38,2410.0,14.5,2.33,,,93700
Solomon Islands,,2050.0,62.8,31.3,64.0,,,,37.1,,130.0,26.3,3.91,,2390.0,587000
St. Kitts and Nevis,,24100.0,,91.6,99.0,,,,,4.64,1670.0,9.7,,,2490.0,54300
St. Lucia,,10700.0,76.1,90.9,98.2,,,,42.6,11.0,765.0,13.7,1.47,,2600.0,177000
St. Vincent and the Grenadines,,10500.0,71.6,87.2,95.1,,,,,9.07,642.0,17.2,1.95,,2970.0,109000
Sudan,,4290.0,68.0,34.6,58.9,13.3,,71.9,35.4,,381.0,67.1,4.6,69000.0,2340.0,38600000
Suriname,,14800.0,71.2,79.2,94.7,,,94.7,57.6,4.82,1260.0,20.6,2.4,3400.0,2750.0,553000
Swaziland,,8050.0,56.4,58.0,67.6,,,87.8,51.5,,372.0,71.3,3.14,190000.0,2330.0,1320000
Timor-Leste,,2150.0,72.6,44.0,70.2,,0.113,58.3,28.7,,57.3,51.6,5.62,,2130.0,1240000
Tonga,,5190.0,70.3,93.5,99.9,,,99.0,37.5,,567.0,16.8,3.68,,,106000
Trinidad and Tobago,,31300.0,73.1,92.1,96.9,,,98.8,40.3,12.1,14400.0,19.1,1.77,13000.0,3050.0,1360000
Tuvalu,,3320.0,,91.4,99.3,,,,39.1,,,26.2,,,,11000
Vanuatu,,2810.0,63.6,53.5,90.5,,0.978,83.2,37.6,,159.0,28.2,3.31,,2840.0,265000
Liechtenstein,,,,100.0,100.0,,,,,,,,,,,37400
